,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2000,31557.0,56539.0,48941.0,42940.0,4675.0
2001,27176.0,49734.0,43418.0,38584.0,3996.0
2002,26300.0,47586.0,40704.0,36402.0,3817.0
2003,25167.0,45618.0,40018.0,32809.0,3457.0
2004,24585.0,43354.0,39234.0,31315.0,3605.0
2005,23634.0,41931.0,36795.0,29449.0,3666.0
2006,22485.0,39738.0,34740.0,28319.0,3400.0
2007,21743.0,37074.0,32392.0,26339.0,3461.0
2008,21172.0,36398.0,31256.0,25666.0,3464.0
2009,19741.0,32585.0,28111.0,23295.0,2998.0
2010,19650.0,32730.0,26847.0,22962.0,2926.0
2011,19975.0,33880.0,26104.0,23660.0,3050.0
2012,20312.0,35889.0,27397.0,24513.0,3377.0
2013,20699,35619,27527,24084,3406
2014,19870,34328,25955,22914,3242
2015,20812,32542,26823,21662,3235
2016,20836,29667,26612,20988,3104
